place,player,player_key,league,movement,country,points
286,Julie Belgraver,1404,WTA,down,France,238
287,Wushuang Zheng,,WTA,up,China,237
288,Ekaterina Reyngold,1814,WTA,up,World,236
289,Madelyn Nugroho Priska,9261,WTA,up,Indonesia,236
290,Xiaodi You,1819,WTA,up,China,235
291,Sakura Hosogi,1399,WTA,up,Japan,235
292,Ylena In-Albon,1110,WTA,up,Switzerland,234
293,Alisa Oktiabreva,78480,WTA,up,World,233
294,Julia Avdeeva,14150,WTA,up,World,229
295,Lia Karatancheva,155,WTA,up,Bulgaria,227
296,Johanna Brockmann Tessa,63288,WTA,up,Germany,226
297,Zarina Diyas,1800,WTA,down,Kazakhstan,223
298,Gabriela Lee,1786,WTA,up,Romania,222
299,Eunhye Lee,,WTA,down,South Korea,221
300,Emina Bektas,1796,WTA,up,USA,220
301,Lauren Davis,2389,WTA,up,USA,220
302,Noma Noha Akugue,1029,WTA,down,Germany,220
303,Veronika Podrez,40100,WTA,down,Ukraine,220
304,Carol Zhao,1822,WTA,up,Canada,219
305,Sohyun Park,205,WTA,up,South Korea,217
306,Amarni Banks,13898,WTA,up,United Kingdom,216
307,Nastasja Schunk,487,WTA,same,Germany,215
308,Anouck Vrancken Peeters,2250,WTA,up,Netherlands,214
309,Cagla Buyukakcay,2988,WTA,down,Turkey,213
310,Sahaja Yamalapalli,13919,WTA,up,India,212
311,Caroline Garcia,1148,WTA,up,France,211
312,Lea Boskovic,161,WTA,up,Croatia,209
313,Ruxandra Bertea Elena,67747,WTA,down,Romania,207
314,Amandine Hesse,2990,WTA,up,France,206
315,Dayeon Back,20923,WTA,up,South Korea,206
316,Nicole Fossa Huergo,15246,WTA,up,Italy,205
317,Alicia Herrero Linana,14112,WTA,up,Spain,204
318,Katarina Jokic,8284,WTA,down,Serbia,202
319,Jennifer Ruggeri,21178,WTA,down,Italy,202
320,Nadine Smith Tina,12994,WTA,up,Australia,200
321,Margaux Rouvroy,9119,WTA,down,France,198
322,Aurora Zantedeschi,170,WTA,up,Italy,198
323,Katrina Scott,186,WTA,down,USA,197
324,Laura Hietaranta,9247,WTA,up,Finland,197
325,Gabriela Ce,4752,WTA,same,Brazil,195
326,Hiromi Abe,14313,WTA,down,Japan,195
327,Anastasia Zolotareva,13411,WTA,same,World,193
328,Sara Sorribes Tormo,2910,WTA,same,Spain,192
329,Rina Saigo,73,WTA,same,Japan,192
330,Giorgia Pedone,10892,WTA,up,Italy,190
331,Ariana Geerlings Martinez,37888,WTA,same,Spain,190
332,Zhibek Kulambayeva,14355,WTA,same,Kazakhstan,189
333,Irina Bara,469,WTA,down,Romania,188
334,Dalila Jakupovic,1427,WTA,down,Slovenia,188
335,Isabella Shinikova,503,WTA,down,Bulgaria,188
336,Dalila Spiteri,4188,WTA,down,Italy,187
337,Tiphanie Lemaitre,1432,WTA,down,France,187
338,Aliona Falei,9265,WTA,down,World,186
339,Leonie Kung,,WTA,down,Switzerland,184
340,Vendula Valdmannova,30799,WTA,down,Czech Republic,183
