"player","svc_matches","svc_aces_per_game","svc_dfs_per_game","svc_ace_to_df_ratio","svc_first_serve_pct","svc_first_serve_win_pct","svc_second_serve_win_pct","svc_service_pts_win_pct","svc_bp_save_pct","svc_hold_pct","tour","window","surface","ret_matches","ret_opp_aces_per_game","ret_opp_dfs_per_game","ret_opp_first_serve_pct","ret_first_return_win_pct","ret_second_return_win_pct","ret_return_pts_win_pct","ret_bp_win_pct","ret_opp_hold_pct"
"207593",1,0.058823529411764705,0,,0.88,0.5681818181818182,0.3333333333333333,0.54,0.36363636363636365,0.5882352941176471,"WTA","2026 ytd","hard",1,0,0.29411764705882354,0.8095238095238095,0.47058823529411764,0.45833333333333337,0.46825396825396826,0.3157894736842105,0.6470588235294118
"207654",1,0.09090909090909091,0.36363636363636365,0.25,0.6329113924050633,0.52,0.3793103448275862,0.46835443037974683,0.36363636363636365,0.36363636363636365,"WTA","2026 ytd","hard",1,0.08333333333333333,0.16666666666666666,0.65625,0.33333333333333337,0.4545454545454546,0.375,0.75,0.75
"207979",10,0.21818181818181817,0.37272727272727274,0.5853658536585366,0.6741258741258741,0.6327800829875518,0.49356223175965663,0.5874125874125874,0.5081967213114754,0.7272727272727273,"WTA","2026 ytd","hard",10,0.29464285714285715,0.33035714285714285,0.663323782234957,0.3455723542116631,0.5659574468085107,0.41977077363896853,0.4444444444444444,0.7142857142857143
"208061",4,0.15,0.175,0.8571428571428571,0.8549618320610687,0.625,0.2631578947368421,0.5725190839694656,0.5333333333333333,0.65,"WTA","2026 ytd","hard",4,0.125,0.125,0.8830645161290323,0.4611872146118722,0.5517241379310345,0.4717741935483871,0.5666666666666667,0.575
"208613",3,0.13953488372093023,0.09302325581395349,1.5,0.6988847583643123,0.6276595744680851,0.4444444444444444,0.5724907063197026,0.5897435897435898,0.627906976744186,"WTA","2026 ytd","hard",3,0.09302325581395349,0.23255813953488372,0.6581818181818182,0.39226519337016574,0.5425531914893618,0.4436363636363636,0.43243243243243246,0.627906976744186
"210114",1,0,0.42857142857142855,0,0.8360655737704918,0.47058823529411764,0.2,0.4262295081967213,0.5714285714285714,0.14285714285714285,"WTA","2026 ytd","hard",1,0.5,0.625,0.75,0.3589743589743589,0.5384615384615384,0.40384615384615385,0.2,0.875
"210540",2,0,0.5333333333333333,0,0.6818181818181818,0.43333333333333335,0.35714285714285715,0.4090909090909091,0.2857142857142857,0.3333333333333333,"WTA","2026 ytd","hard",2,0.35714285714285715,0.35714285714285715,0.7402597402597403,0.14035087719298245,0.5,0.23376623376623373,0.5,0.9285714285714286
"210717",2,0.11764705882352941,0.058823529411764705,2,0.8015873015873016,0.504950495049505,0.36,0.47619047619047616,0.5238095238095238,0.4117647058823529,"WTA","2026 ytd","hard",2,0.17647058823529413,0.058823529411764705,0.7884615384615384,0.31707317073170727,0.4545454545454546,0.34615384615384615,0.42857142857142855,0.8235294117647058
"210831",12,0.19424460431654678,0.4316546762589928,0.45,0.6406712734452122,0.5839753466872111,0.41483516483516486,0.5231984205330701,0.6090225563909775,0.6258992805755396,"WTA","2026 ytd","hard",12,0.2446043165467626,0.35251798561151076,0.6497109826589595,0.40391459074733094,0.528052805280528,0.4473988439306359,0.4787234042553192,0.6762589928057554
"211014",14,0.08333333333333333,0.1597222222222222,0.5217391304347826,0.757871878393051,0.5945558739255015,0.547085201793722,0.5830618892508144,0.5462962962962963,0.6597222222222222,"WTA","2026 ytd","hard",14,0.2191780821917808,0.21232876712328766,0.7104166666666667,0.46627565982404695,0.564748201438849,0.49479166666666663,0.5234375,0.541095890410959
