tour,as_of_date,elo_rank,player,age,elo,unnamed_4,helo_rank,helo,celo_rank,celo,gelo_rank,gelo,unnamed_11,peak_elo,peak_month,unnamed_14,wta_rank,log_diff
WTA,2026-02-16,116,Mia Pohankova,17.2,1697.9,,104.0,1670.2,233.0,1464.0,156.0,1512.4,,1739.1,2026-02,,347.0,-1.1
WTA,2026-02-16,117,Elsa Jacquemot,22.7,1697.8,,127.0,1642.6,105.0,1629.0,85.0,1607.7,,1766.8,2025-09,,57.0,0.72
WTA,2026-02-16,118,Mananchaya Sawangkaew,23.5,1694.7,,96.0,1674.8,165.0,1550.1,120.0,1558.0,,1775.4,2025-02,,198.0,-0.52
WTA,2026-02-16,119,Lanlana Tararudee,21.5,1694.2,,112.0,1665.8,162.0,1551.4,112.0,1571.7,,1714.8,2026-02,,126.0,-0.06
WTA,2026-02-16,120,Marina Stakusic,21.1,1694.2,,116.0,1662.4,161.0,1552.6,99.0,1586.7,,1794.3,2024-02,,139.0,-0.15
WTA,2026-02-16,121,Anna Blinkova,27.3,1694.1,,120.0,1653.3,115.0,1615.3,94.0,1595.6,,1830.2,2019-10,,83.0,0.38
WTA,2026-02-16,122,Lin Zhu,32.0,1693.8,,107.0,1668.4,231.0,1465.0,129.0,1545.2,,1808.9,2023-09,,138.0,-0.12
WTA,2026-02-16,123,Alycia Parks,25.1,1692.6,,111.0,1666.3,185.0,1519.7,118.0,1561.7,,1824.7,2023-01,,77.0,0.47
WTA,2026-02-16,124,Xiyu Wang,24.5,1690.1,,117.0,1661.7,103.0,1630.1,133.0,1542.1,,1803.0,2024-02,,223.0,-0.59
WTA,2026-02-16,125,Robin Montgomery,20.8,1690.1,,136.0,1625.1,121.0,1607.8,67.0,1642.6,,1779.9,2024-07,,294.0,-0.86
WTA,2026-02-16,126,Solana Sierra,21.6,1689.3,,140.0,1618.7,92.0,1656.1,109.0,1575.3,,1739.3,2026-01,,64.0,0.68
WTA,2026-02-16,127,Aoi Ito,21.2,1687.0,,92.0,1682.8,314.0,1374.2,191.0,1467.6,,1786.2,2024-12,,176.0,-0.33
WTA,2026-02-16,128,Caroline Dolehide,27.2,1684.6,,124.0,1645.7,102.0,1631.6,171.0,1491.3,,1757.6,2025-07,,121.0,0.06
WTA,2026-02-16,129,Claire Liu,25.6,1683.3,,119.0,1660.7,133.0,1587.2,139.0,1534.6,,1814.6,2022-05,,213.0,-0.5
WTA,2026-02-16,130,Elina Avanesyan,23.3,1677.1,,118.0,1660.8,108.0,1626.4,104.0,1579.4,,1835.3,2024-08,,178.0,-0.31
WTA,2026-02-16,131,Priscilla Hon,27.7,1677.1,,125.0,1644.9,173.0,1538.6,142.0,1532.4,,1722.2,2025-09,,130.0,0.01
WTA,2026-02-16,132,Himeno Sakatsume,24.4,1675.8,,121.0,1651.7,227.0,1471.4,150.0,1518.3,,1687.9,2026-01,,136.0,-0.03
WTA,2026-02-16,133,Petra Martic,34.5,1672.7,,132.0,1632.5,101.0,1633.8,82.0,1617.9,,1979.2,2019-09,,346.0,-0.96
WTA,2026-02-16,134,Linda Klimovicova,21.6,1672.6,,129.0,1634.7,216.0,1483.8,173.0,1489.1,,1720.6,2026-01,,134.0,0.0
